goods_id,goods_shop,goods_name,comment_count,score1_count,score2_count,score3_count,score4_count,score5_count
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
31201366337,戴尔商用瑞华专卖店,戴尔（DELL） OptiPlex7070MT商用办公台式电脑主机酷睿i7游戏台式机主机3D建模设计 单主机不含显示器 尊享版 I7 16G 1T+256G固态 2G独显,4525,25,2,6,13,1364
61758185853,戴尔蓝之新专卖店,戴尔（DELL）Optiplex 3060MT 戴尔台式机商用办公电脑家用台式电脑整机 单主机不带显示器（含键鼠） 定制 G5400 8G 1T,487,0,0,0,0,207
61758185853,戴尔蓝之新专卖店,戴尔（DELL）Optiplex 3060MT 戴尔台式机商用办公电脑家用台式电脑整机 单主机不带显示器（含键鼠） 定制 G5400 8G 1T,487,0,0,0,0,207
61758185853,戴尔蓝之新专卖店,戴尔（DELL）Optiplex 3060MT 戴尔台式机商用办公电脑家用台式电脑整机 单主机不带显示器（含键鼠） 定制 G5400 8G 1T,487,0,0,0,0,207
